__ID__,酒精,硫酸盐,PH,密度,总二氧化硫,游离二氧化硫,氯化物,残糖,柠檬酸,挥发性酸度,固定酸度
576,10.0,0.52,3.34,0.9978,14.0,6.0,0.10300000000000001,2.3,0.24,0.5,9.9
577,9.5,0.6,3.3,0.9982,111.0,18.0,0.083,2.8,0.49,0.44,8.8
578,9.8,0.6,3.29,0.9982,110.0,17.0,0.085,2.9,0.49,0.47,8.8
579,9.8,0.51,3.14,0.9976,40.0,18.0,0.063,2.2,0.49,0.31,10.6
580,9.6,0.44,3.19,1.0002,14.0,5.0,0.08900000000000001,2.2,0.49,0.5,12.3
581,9.6,0.44,3.19,1.0002,14.0,5.0,0.08900000000000001,2.2,0.49,0.5,12.3
582,9.2,0.43,3.19,1.0,15.0,5.0,0.083,2.2,0.49,0.49,11.7
583,9.9,0.66,2.98,0.9976,21.0,10.0,0.07400000000000001,1.9,0.49,0.28,12.0
584,10.7,0.76,3.3,1.0002,80.0,54.0,0.09300000000000001,3.4,0.49,0.33,11.8
585,9.6,0.66,3.47,0.998,38.0,8.0,0.091,2.4,0.24,0.51,7.6
586,10.6,1.02,3.12,0.9986,47.0,16.0,0.094,2.7,0.49,0.31,11.1
587,9.3,0.59,3.26,0.9967,102.0,18.0,0.10800000000000001,1.9,0.24,0.73,7.3
588,14.0,0.74,3.72,0.9917,50.0,19.0,0.06,2.0,0.24,0.42,5.0
589,10.5,0.74,3.05,0.9976,13.0,5.0,0.059000000000000004,2.6,0.49,0.29,10.2
590,9.7,0.57,3.35,0.9987,75.0,21.0,0.084,2.6,0.49,0.45,9.0
591,11.5,0.5,3.12,0.9922,149.0,23.0,0.07,1.7,0.49,0.39,6.6
592,9.7,0.57,3.35,0.9987,75.0,21.0,0.084,2.6,0.49,0.45,9.0
593,9.0,0.58,3.29,1.0004,43.0,9.0,0.094,3.5,0.58,0.49,9.9
594,9.5,0.53,3.4,0.9978,38.0,20.0,0.096,2.6,0.17,0.72,7.9
595,9.3,0.57,3.27,0.9998,109.0,30.0,0.086,7.9,0.41,0.595,8.9
596,9.3,0.6,3.04,0.9994,24.0,6.0,0.059000000000000004,2.0,0.51,0.4,12.4
597,10.0,0.63,3.09,0.998,18.0,5.0,0.071,1.9,0.58,0.58,11.9
598,9.8,0.48,3.2,0.9967,30.0,5.0,0.078,2.1,0.18,0.585,8.5
599,9.3,0.7,3.0,1.0,22.0,11.0,0.08199999999999999,2.3,0.45,0.59,12.7
600,10.0,0.47,3.26,0.9962,23.0,7.0,0.08800000000000001,2.1,0.27,0.915,8.2
601,9.0,0.56,3.1,1.0006,35.0,12.0,0.071,2.2,0.52,0.46,13.2
602,9.3,0.52,3.3,0.9975,14.0,6.0,0.081,2.6,0.0,0.835,7.7
603,9.0,0.56,3.1,1.0006,35.0,12.0,0.071,2.2,0.52,0.46,13.2
604,9.1,0.62,3.17,0.9984,63.0,14.0,0.096,2.9,0.13,0.58,8.3
605,9.2,0.59,3.31,0.9984,24.0,6.0,0.085,2.6,0.13,0.6,8.3
606,12.2,0.79,3.34,0.9973,20.0,10.0,0.07200000000000001,4.6,0.48,0.41,9.4
607,10.5,0.53,3.31,0.9982,52.0,26.0,0.092,3.3,0.41,0.48,8.8
608,10.4,0.64,3.32,1.0026,65.0,11.0,0.11,5.1,0.37,0.65,10.1
609,12.7,0.52,3.56,0.9956,39.0,15.0,0.075,3.2,0.19,0.36,6.3
610,9.2,0.54,3.39,0.9983,57.0,25.0,0.083,2.5,0.54,0.24,8.8
611,9.4,0.54,2.98,1.0006,16.0,5.0,0.081,2.7,0.55,0.38,13.2
612,10.0,0.6,3.32,0.9965,29.0,18.0,0.077,2.4,0.0,0.64,7.5
613,9.8,0.74,3.26,0.9962,29.0,10.0,0.057999999999999996,1.5,0.38,0.39,8.2
614,10.2,1.36,2.87,0.9969,103.0,10.0,0.14800000000000002,2.2,0.18,0.755,9.2
615,9.7,0.57,3.5,0.9997,71.0,28.0,0.079,2.3,0.5,0.6,9.6
616,9.7,0.57,3.5,0.9997,71.0,28.0,0.079,2.3,0.5,0.6,9.6
617,9.8,0.93,3.03,0.9982,28.0,14.0,0.079,2.2,0.51,0.31,11.5
618,10.2,0.7,3.13,1.0006,17.0,4.0,0.122,2.7,0.5,0.46,11.4
619,9.3,0.8,3.09,0.9988,16.0,6.0,0.08800000000000001,2.3,0.41,0.37,11.3
620,9.4,0.61,3.27,0.9976,112.0,16.0,0.076,3.4,0.24,0.54,8.3
621,9.4,0.62,3.28,0.9976,104.0,14.0,0.078,3.4,0.23,0.56,8.2
622,9.5,0.55,3.13,0.9974,32.0,9.0,0.08,1.9,0.22,0.58,10.0
623,12.1,0.96,3.49,0.9974,45.0,21.0,0.077,2.9,0.25,0.51,7.9
624,10.2,0.72,3.46,0.9997,58.0,21.0,0.124,5.6,0.0,0.69,6.8
625,10.2,0.72,3.46,0.9997,58.0,21.0,0.124,5.6,0.0,0.69,6.8
626,9.1,0.49,3.36,0.9988,15.0,5.0,0.098,2.2,0.29,0.6,8.8
627,9.1,0.49,3.36,0.9988,15.0,5.0,0.098,2.2,0.29,0.6,8.8
628,9.3,0.6,3.27,0.9976,31.0,7.0,0.09699999999999999,2.5,0.26,0.54,8.7
629,9.3,0.61,3.21,0.9964,84.0,20.0,0.111,2.3,0.23,0.685,7.6
630,9.3,0.6,3.27,0.9976,31.0,7.0,0.09699999999999999,2.5,0.26,0.54,8.7
631,9.5,0.63,3.25,0.9988,19.0,5.0,0.105,2.7,0.54,0.28,10.4
632,10.5,0.57,3.32,0.9964,43.0,21.0,0.087,3.0,0.14,0.41,7.6
633,11.3,0.64,3.43,1.001,86.0,11.0,0.105,3.4,0.22,0.935,10.1
634,9.5,0.58,3.27,0.9964,102.0,46.0,0.073,1.9,0.21,0.35,7.9
635,9.7,0.55,3.27,0.9954,33.0,24.0,0.065,1.4,0.0,0.84,8.7
636,9.4,0.53,3.24,0.9979,147.0,30.0,0.086,2.4,0.28,0.88,9.6
637,9.4,0.53,3.24,0.9978,145.0,31.0,0.084,2.3,0.27,0.885,9.5
638,10.2,0.65,3.35,0.9964,23.0,7.0,0.14300000000000002,2.2,0.12,0.915,7.7
639,10.3,1.36,3.18,0.997,57.0,25.0,0.067,1.9,0.35,0.29,8.9
640,9.4,0.62,3.39,0.9991,40.0,16.0,0.071,2.3,0.45,0.54,9.9
641,9.5,0.63,3.46,0.9992,68.0,21.0,0.071,2.3,0.44,0.59,9.5
642,9.4,0.62,3.39,0.9991,40.0,16.0,0.071,2.3,0.45,0.54,9.9
643,9.5,0.63,3.46,0.9992,68.0,21.0,0.071,2.3,0.44,0.59,9.5
644,9.4,0.62,3.39,0.9991,40.0,16.0,0.071,2.3,0.45,0.54,9.9
645,10.1,0.69,3.37,0.9984,11.0,5.0,0.115,6.0,0.1,0.64,7.8
646,10.1,0.63,3.4,0.9972,20.0,6.0,0.107,3.6,0.05,0.67,7.3
647,11.0,0.58,3.32,0.9967,14.0,5.0,0.07,2.2,0.01,0.845,8.3
648,11.2,0.67,3.33,0.9964,28.0,10.0,0.066,2.8,0.3,0.48,8.7
649,11.3,0.57,3.16,0.9948,148.0,24.0,0.068,8.6,0.27,0.42,6.7
650,9.6,0.5,2.89,0.9986,32.0,8.0,0.106,2.2,0.39,0.43,10.7
651,11.2,0.67,3.41,1.001,155.0,35.0,0.10400000000000001,2.5,0.25,0.88,9.8
652,14.9,0.84,2.98,0.9976,71.0,22.0,0.096,7.5,0.65,0.36,15.9
653,12.0,0.54,3.12,0.9976,30.0,9.0,0.079,2.8,0.59,0.33,9.4
654,9.5,0.46,3.08,0.9979,29.0,7.0,0.07400000000000001,2.4,0.47,0.47,8.6
655,9.4,0.61,3.14,1.0004,53.0,20.0,0.087,2.9,0.17,0.55,9.7
656,9.6,0.5,2.89,0.9986,32.0,8.0,0.106,2.2,0.39,0.43,10.7
657,10.5,0.68,2.92,0.998,42.0,23.0,0.073,1.4,0.59,0.5,12.0
658,9.6,0.81,3.32,0.9973,20.0,5.0,0.07400000000000001,1.4,0.07,0.52,7.2
659,11.0,0.57,3.41,0.997,13.0,5.0,0.096,4.4,0.02,0.84,7.1
660,9.6,0.81,3.32,0.9973,20.0,5.0,0.07400000000000001,1.4,0.07,0.52,7.2
661,9.0,0.64,3.31,0.9978,42.0,15.0,0.08,1.6,0.31,0.42,7.5
662,9.6,0.7,3.36,0.9972,27.0,9.0,0.076,1.6,0.06,0.57,7.2
663,10.2,0.79,3.04,0.9974,13.0,5.0,0.05,1.8,0.46,0.28,10.1
664,10.2,0.66,3.03,1.0,54.0,15.0,0.092,2.0,0.52,0.4,12.1
665,9.7,0.56,3.14,0.9981,48.0,25.0,0.084,2.0,0.14,0.59,9.4
666,9.5,0.6,3.18,0.998,16.0,6.0,0.222,1.8,0.36,0.49,8.3
667,9.2,0.66,2.94,0.9988,15.0,6.0,0.08199999999999999,2.0,0.45,0.34,11.3
668,11.0,0.57,3.15,0.9966,31.0,15.0,0.059000000000000004,2.3,0.43,0.73,10.0
669,9.2,0.66,2.94,0.9988,15.0,6.0,0.08199999999999999,2.0,0.45,0.34,11.3
670,10.0,0.58,3.26,0.9959,45.0,30.0,0.083,2.5,0.24,0.4,6.9
671,9.5,0.52,3.2,0.9968,13.0,5.0,0.07400000000000001,1.7,0.21,0.73,8.2
672,9.5,0.53,3.15,0.998,151.0,32.0,0.079,2.0,0.34,1.24,9.8
673,9.5,0.52,3.2,0.9968,13.0,5.0,0.07400000000000001,1.7,0.21,0.73,8.2
674,9.3,0.67,3.08,0.9984,17.0,7.0,0.084,2.2,0.41,0.4,10.8
675,10.2,0.65,3.26,0.9984,31.0,12.0,0.064,2.2,0.39,0.41,9.3
676,9.3,0.67,3.08,0.9984,17.0,7.0,0.084,2.2,0.41,0.4,10.8
677,9.9,0.48,3.4,0.9979,31.0,12.0,0.084,2.3,0.11,0.8,8.6
678,10.0,0.53,3.48,0.9983,87.0,45.0,0.081,2.6,0.1,0.78,8.3
679,9.6,0.54,3.13,0.9972,49.0,20.0,0.06,3.3,0.45,0.26,10.8
680,9.0,0.49,3.06,1.0004,40.0,15.0,0.07,1.9,0.58,0.43,13.3
681,10.2,0.49,3.21,0.9962,29.0,16.0,0.094,2.2,0.23,0.45,8.0
682,9.8,0.54,3.33,0.998,58.0,32.0,0.078,2.25,0.31,0.46,8.5
683,11.3,0.56,3.37,0.997,15.0,5.0,0.059000000000000004,2.6,0.23,0.78,8.1
684,9.4,0.48,3.25,0.998,152.0,35.0,0.078,2.3,0.32,0.98,9.8
685,11.3,0.56,3.37,0.997,15.0,5.0,0.059000000000000004,2.6,0.23,0.78,8.1
686,9.1,0.6,3.44,0.997,40.0,13.0,0.07,1.8,0.18,0.65,7.1
687,9.7,0.59,3.28,0.9998,38.0,13.0,0.095,3.1,0.23,0.64,9.1
688,9.4,0.47,3.4,0.9962,9.0,4.0,0.039,1.6,0.04,0.66,7.7
689,9.4,1.05,3.3,0.9976,17.0,5.0,0.157,1.8,0.48,0.38,8.1
690,10.7,0.54,3.63,0.9966,14.0,5.0,0.09699999999999999,4.25,0.0,1.185,7.4
691,9.8,0.54,3.48,0.9998,93.0,12.0,0.087,2.6,0.24,0.92,9.2
692,9.0,1.17,3.03,0.9979,62.0,16.0,0.42200000000000004,2.0,0.51,0.49,8.6
693,9.4,0.62,3.32,0.9984,122.0,21.0,0.084,2.8,0.32,0.48,9.0
694,9.4,0.61,3.31,0.9984,125.0,24.0,0.084,2.7,0.31,0.47,9.0
695,12.8,0.62,3.9,0.9921,44.0,18.0,0.034,1.3,0.02,0.47,5.1
696,9.5,0.67,3.47,0.9972,25.0,8.0,0.066,2.1,0.02,0.65,7.0
697,9.5,0.67,3.47,0.9972,25.0,8.0,0.066,2.1,0.02,0.65,7.0
698,9.7,0.53,3.31,1.0001,72.0,18.0,0.087,3.2,0.28,0.615,9.4
699,10.8,0.62,3.11,0.9986,19.0,5.0,0.071,2.1,0.55,0.38,11.8
700,10.1,0.57,3.08,0.9984,88.0,26.0,0.076,2.9,0.43,1.02,10.6
701,9.5,0.67,3.47,0.9972,25.0,8.0,0.066,2.1,0.02,0.65,7.0
702,9.4,0.67,3.47,0.997,23.0,9.0,0.067,2.1,0.02,0.64,7.0
703,9.6,0.7,3.32,0.9972,84.0,22.0,0.073,2.6,0.48,0.38,7.5
704,9.7,0.54,3.29,0.998,14.0,4.0,0.078,1.6,0.04,0.765,9.1
705,9.9,0.49,3.37,0.9990000000000001,54.0,11.0,0.073,6.0,0.15,1.035,8.4
706,10.0,0.47,3.4,0.9956,19.0,10.0,0.09300000000000001,2.0,0.08,0.78,7.0
707,10.5,0.51,3.37,0.9966,37.0,16.0,0.077,3.0,0.19,0.49,7.4
708,11.6,0.61,3.34,0.996,35.0,11.0,0.068,2.5,0.12,0.545,7.8
709,10.0,0.66,3.27,0.9983,33.0,13.0,0.062,1.6,0.47,0.31,9.7
710,10.1,0.57,3.06,0.9985,84.0,21.0,0.08,2.8,0.43,1.025,10.6
711,9.5,0.61,3.38,0.9998,112.0,16.0,0.09300000000000001,3.0,0.34,0.565,8.9
712,9.4,0.45,3.36,0.9992,33.0,13.0,0.084,3.2,0.0,0.69,8.7
713,9.4,0.46,3.34,0.9976,48.0,10.0,0.075,2.3,0.36,0.43,8.0
714,9.8,0.51,3.28,0.998,77.0,21.0,0.078,2.6,0.28,0.74,9.9
715,9.2,0.48,3.29,0.9967,34.0,13.0,0.069,2.7,0.18,0.49,7.2
716,9.4,0.46,3.34,0.9976,48.0,10.0,0.075,2.3,0.36,0.43,8.0
717,10.0,0.57,3.21,0.9968,49.0,12.0,0.079,2.6,0.11,0.46,7.6
718,9.6,0.44,3.22,0.9976,22.0,10.0,0.08199999999999999,2.0,0.04,0.56,8.4
719,9.5,0.54,3.46,0.9976,45.0,17.0,0.086,3.9,0.0,0.66,7.1
720,9.6,0.44,3.22,0.9976,22.0,10.0,0.08199999999999999,2.0,0.04,0.56,8.4
721,9.2,0.53,3.1,0.9982,106.0,35.0,0.094,2.85,0.24,0.48,8.9
722,10.0,0.59,3.21,0.9968,48.0,15.0,0.084,2.7,0.08,0.42,7.6
723,9.5,1.62,2.94,0.9965,127.0,36.0,0.053,2.2,0.3,0.31,7.1
724,11.2,0.6,3.54,0.9958,12.0,5.0,0.086,3.1,0.1,1.115,7.5
725,10.4,0.55,3.29,0.9976,13.0,5.0,0.077,3.0,0.17,0.66,9.0
726,11.1,0.72,3.43,0.9994,49.0,18.0,0.084,2.8,0.09,0.72,8.1
727,9.5,0.68,3.46,0.997,11.0,4.0,0.067,1.8,0.02,0.57,6.4
728,9.5,0.68,3.46,0.997,11.0,4.0,0.067,1.8,0.02,0.57,6.4
729,12.7,0.49,3.61,0.995,58.0,27.0,0.071,3.2,0.03,0.865,6.4
730,9.6,0.67,3.17,0.9982,37.0,12.0,0.387,2.3,0.66,0.55,9.5
731,11.5,0.52,3.44,0.9994,14.0,4.0,0.08800000000000001,3.45,0.13,0.875,8.9
732,9.6,0.47,3.39,0.9966,19.0,10.0,0.092,2.1,0.03,0.835,7.3
733,9.5,0.6,3.55,0.998,72.0,16.0,0.08199999999999999,2.7,0.34,0.45,7.0
734,9.3,0.62,3.48,0.9987,39.0,9.0,0.075,2.0,0.2,0.56,7.7
735,9.5,0.5,3.26,0.9963,22.0,11.0,0.11199999999999999,2.1,0.1,0.965,7.7
736,9.5,0.5,3.26,0.9963,22.0,11.0,0.11199999999999999,2.1,0.1,0.965,7.7
737,9.3,0.65,3.5,1.0002,58.0,19.0,0.09300000000000001,2.5,0.0,0.59,8.2
738,9.2,0.56,3.1,0.9983,104.0,28.0,0.092,2.8,0.23,0.46,9.0
739,9.3,0.6,3.35,0.9990000000000001,38.0,19.0,0.08800000000000001,2.4,0.0,0.69,9.0
740,11.5,0.68,3.45,0.9965,16.0,12.0,0.075,4.2,0.29,0.76,8.3
741,9.5,0.57,3.21,0.9978799999999999,139.0,28.0,0.078,2.6,0.24,0.53,9.2
742,9.2,0.65,3.46,0.9972,18.0,9.0,0.065,1.9,0.0,0.615,6.5
743,10.0,0.53,3.13,1.00024,101.0,25.0,0.096,2.8,0.58,0.41,11.6
744,9.5,0.51,3.13,1.0001,101.0,21.0,0.095,2.7,0.54,0.39,11.1
745,9.5,0.73,3.52,0.9976799999999999,28.0,12.0,0.07,2.1,0.18,0.51,7.3
746,9.0,0.47,3.3,0.9978,57.0,12.0,0.08,2.5,0.38,0.34,8.2
747,9.4,0.48,3.3,0.99782,68.0,16.0,0.083,2.6,0.4,0.33,8.6
748,9.6,0.72,3.52,0.99761,31.0,12.0,0.071,2.1,0.18,0.5,7.2
749,9.5,0.73,3.52,0.9976799999999999,28.0,12.0,0.07,2.1,0.18,0.51,7.3
750,9.5,0.55,3.29,0.99803,40.0,17.0,0.08900000000000001,2.9,0.1,0.65,8.3
751,9.5,0.55,3.29,0.99803,40.0,17.0,0.08900000000000001,2.9,0.1,0.65,8.3
752,9.4,0.61,3.39,0.99785,66.0,24.0,0.09699999999999999,2.5,0.13,0.54,7.6
753,9.5,0.55,3.29,0.99803,40.0,17.0,0.08900000000000001,2.9,0.1,0.65,8.3
754,9.1,1.06,3.09,0.99656,32.0,14.0,0.415,1.7,0.68,0.48,7.8
755,10.7,0.43,3.51,0.99525,47.0,22.0,0.057999999999999996,1.9,0.07,0.91,7.8
756,11.2,0.46,3.6,0.9948799999999999,33.0,15.0,0.057,2.0,0.01,0.98,6.3
757,9.8,0.5,3.25,0.99656,31.0,10.0,0.084,2.2,0.0,0.87,8.1
758,9.8,0.5,3.25,0.99656,31.0,10.0,0.084,2.2,0.0,0.87,8.1
759,9.2,0.52,3.19,0.99823,88.0,33.0,0.092,2.5,0.21,0.42,8.8
760,9.7,0.57,3.23,0.99779,104.0,9.0,0.075,2.8,0.25,0.58,9.0
761,9.6,0.42,3.25,0.9973799999999999,35.0,5.0,0.096,2.0,0.26,0.655,9.3
762,10.0,0.53,3.31,0.9970100000000001,19.0,8.0,0.069,1.7,0.0,0.7,8.8
763,9.6,0.42,3.25,0.9973799999999999,35.0,5.0,0.096,2.0,0.26,0.655,9.3
764,9.5,0.55,3.31,0.9988799999999999,44.0,11.0,0.09300000000000001,2.8,0.11,0.68,9.1
765,9.5,0.54,3.31,0.9988799999999999,48.0,12.0,0.091,3.0,0.1,0.67,9.2
766,9.4,0.54,3.14,0.9973799999999999,74.0,12.0,0.08900000000000001,2.9,0.18,0.59,8.8
767,9.5,0.62,3.45,0.9993799999999999,98.0,13.0,0.10300000000000001,2.7,0.32,0.6,7.5
768,9.7,0.53,3.55,0.99744,94.0,24.0,0.08199999999999999,2.3,0.02,0.59,7.1
769,9.6,0.54,3.39,0.9966799999999999,32.0,7.0,0.076,1.9,0.01,0.72,7.9
770,9.7,0.53,3.55,0.99744,94.0,24.0,0.08199999999999999,2.3,0.02,0.59,7.1
771,9.4,0.55,3.28,0.9978,143.0,23.0,0.08199999999999999,2.4,0.26,0.685,9.4
772,9.4,0.55,3.27,0.99782,144.0,23.0,0.08199999999999999,2.3,0.27,0.57,9.5
773,9.5,0.92,3.3,0.9973,44.0,1.0,0.157,1.8,0.29,0.4,7.9
774,9.5,0.91,3.31,0.9972700000000001,45.0,2.0,0.157,1.8,0.3,0.4,7.9
775,10.0,0.46,3.43,0.9958600000000001,16.0,7.0,0.102,3.0,0.0,1.0,7.2
776,10.3,0.6,3.4,0.9961200000000001,48.0,5.5,0.243,2.4,0.18,0.765,6.9
777,10.3,0.59,3.4,0.9961,18.0,6.0,0.24100000000000002,2.4,0.17,0.635,6.9
778,10.5,0.61,3.36,0.9978799999999999,34.0,7.0,0.079,3.4,0.3,0.43,8.3
779,9.8,0.6,3.5,0.99745,92.0,21.0,0.076,2.6,0.03,0.52,7.1
780,9.4,0.6,3.31,0.9967600000000001,45.0,12.0,0.19,2.0,0.0,0.57,7.0
781,9.8,0.65,3.66,0.9973200000000001,37.0,9.0,0.114,2.4,0.14,0.46,6.5
782,10.0,0.53,3.36,0.9981399999999999,96.0,26.0,0.081,2.4,0.05,0.82,9.0
783,9.8,0.65,3.66,0.9973200000000001,37.0,9.0,0.114,2.4,0.14,0.46,6.5
784,9.8,0.59,3.55,0.99746,85.0,20.0,0.077,2.5,0.01,0.59,7.1
785,9.5,0.5,3.21,0.9982,61.0,11.0,0.083,2.3,0.41,0.35,9.9
786,9.5,0.5,3.21,0.9982,61.0,11.0,0.083,2.3,0.41,0.35,9.9
787,10.1,0.56,3.18,0.9991,58.0,19.0,0.079,2.2,0.24,0.56,10.0
788,10.1,0.56,3.18,0.9991,58.0,19.0,0.079,2.2,0.24,0.56,10.0
789,9.3,0.52,3.09,0.998,119.0,21.0,0.099,2.9,0.17,0.63,8.6
790,9.7,0.68,3.33,0.99708,82.0,18.0,0.08199999999999999,2.6,0.43,0.37,7.4
791,9.6,0.54,3.23,0.99818,130.0,25.0,0.084,2.9,0.17,0.64,8.8
792,9.7,0.6,3.48,0.99745,87.0,17.0,0.081,2.5,0.02,0.61,7.1
793,10.8,0.56,3.38,0.99639,13.0,7.0,0.055,2.6,0.0,0.6,7.7
794,12.5,0.53,3.17,0.99531,26.0,7.0,0.065,2.3,0.54,0.27,10.1
795,10.2,1.18,2.99,0.9978600000000001,60.0,7.0,0.132,2.6,0.3,0.89,10.8
796,9.6,0.74,3.1,0.99746,64.0,24.0,0.126,2.5,0.31,0.46,8.7
797,10.8,0.81,3.24,0.99526,42.0,21.0,0.038,1.6,0.44,0.37,9.3
798,10.7,0.52,3.29,0.9987,14.0,5.0,0.08199999999999999,3.6,0.34,0.5,9.4
799,10.7,0.52,3.29,0.9987,14.0,5.0,0.08199999999999999,3.6,0.34,0.5,9.4
800,9.4,0.51,3.25,0.99641,108.0,26.0,0.08199999999999999,4.0,0.08,0.61,7.2
801,10.0,0.44,3.23,0.99735,17.0,8.0,0.068,3.3,0.09,0.55,8.6
802,12.9,0.94,3.56,0.99264,86.0,14.0,0.044000000000000004,1.7,0.0,0.585,5.1
803,9.6,0.66,3.24,0.9971,46.0,14.0,0.114,2.5,0.08,0.56,7.7
804,9.9,0.57,3.26,0.99682,18.0,4.0,0.084,2.7,0.22,0.52,8.4
805,12.8,0.7,3.33,0.99356,10.0,4.0,0.052000000000000005,2.4,0.4,0.28,8.2
806,12.5,0.71,3.27,0.9938600000000001,10.0,4.0,0.040999999999999995,2.0,0.39,0.25,8.4
807,12.8,0.7,3.33,0.99356,10.0,4.0,0.052000000000000005,2.4,0.4,0.28,8.2
808,9.2,0.86,3.26,0.99702,12.0,4.0,0.165,1.9,0.12,0.53,7.4
809,10.3,0.55,3.22,0.9969299999999999,15.0,4.0,0.07,2.8,0.31,0.48,7.6
810,10.5,0.47,3.3,0.9956200000000001,14.0,4.0,0.068,2.6,0.1,0.49,7.3
811,10.9,0.68,3.09,1.0001200000000001,24.0,7.0,0.07200000000000001,2.8,0.55,0.5,12.9
812,10.8,0.71,3.24,0.99818,38.0,20.0,0.099,2.5,0.33,0.45,10.8
813,11.4,0.58,3.44,0.9946200000000001,7.0,4.0,0.102,2.1,0.24,0.39,6.9
814,11.3,0.76,3.21,0.99939,41.0,19.0,0.10300000000000001,2.8,0.54,0.41,12.6
815,10.8,0.71,3.24,0.99818,38.0,20.0,0.099,2.5,0.33,0.45,10.8
816,10.5,0.58,3.23,0.9984,30.0,8.0,0.081,3.2,0.19,0.51,9.8
817,11.9,0.73,3.28,0.99545,27.0,19.0,0.084,1.6,0.42,0.29,10.8
818,9.4,0.45,3.29,0.9963200000000001,47.0,21.0,0.071,2.35,0.0,0.715,7.1
819,9.6,0.54,3.28,0.99976,59.0,9.0,0.09699999999999999,3.2,0.15,0.66,9.1
820,9.7,0.6,3.34,0.9960600000000001,22.0,9.0,0.099,1.9,0.0,0.685,7.0
821,14.0,0.74,3.71,0.99154,42.0,16.0,0.048,2.1,0.0,0.42,4.9
822,9.8,0.64,3.61,0.9973,36.0,15.0,0.076,2.0,0.13,0.54,6.7
823,9.8,0.64,3.61,0.9973,36.0,15.0,0.076,2.0,0.13,0.54,6.7
824,10.3,0.53,3.24,0.99682,16.0,6.0,0.068,2.8,0.28,0.48,7.1
825,10.7,0.49,3.36,0.99624,37.0,15.0,0.076,2.8,0.14,0.46,7.1
826,11.0,0.64,3.4,0.9951,8.0,4.0,0.05,2.3,0.34,0.27,7.5
827,10.7,0.49,3.36,0.99624,37.0,15.0,0.076,2.8,0.14,0.46,7.1
828,12.7,0.74,3.46,0.9941700000000001,45.0,34.0,0.065,2.3,0.09,0.57,7.8
829,11.1,0.77,3.56,0.9937600000000001,24.0,16.0,0.071,2.1,0.08,0.61,5.9
830,10.9,0.55,3.38,0.9963200000000001,9.0,5.0,0.057999999999999996,2.5,0.07,0.685,7.5
831,11.1,0.77,3.56,0.9937600000000001,24.0,16.0,0.071,2.1,0.08,0.61,5.9
832,9.9,0.86,3.38,0.9983200000000001,48.0,34.0,0.145,1.5,0.42,0.44,10.4
833,9.9,0.86,3.38,0.99836,51.0,36.0,0.147,1.6,0.44,0.47,11.6
834,9.4,0.47,3.32,0.9969399999999999,23.0,16.0,0.08800000000000001,1.6,0.26,0.685,8.8
835,9.3,0.51,3.39,0.99655,55.0,27.0,0.066,1.5,0.1,0.665,7.6
836,11.7,0.39,3.26,0.99064,100.0,36.0,0.012,2.4,0.28,0.28,6.7
837,11.7,0.39,3.26,0.99064,100.0,36.0,0.012,2.4,0.28,0.28,6.7
838,11.2,0.83,3.24,0.99672,28.0,9.0,0.075,1.6,0.35,0.31,10.1
839,10.0,0.47,3.46,0.9964700000000001,26.0,13.0,0.092,2.2,0.04,0.5,6.0
840,12.1,0.77,3.24,0.99736,34.0,9.0,0.085,2.65,0.47,0.42,11.1
841,10.3,0.63,3.45,0.99629,31.0,21.0,0.115,3.0,0.0,0.66,6.6
842,10.9,0.72,3.23,0.99708,68.0,34.0,0.11900000000000001,2.6,0.45,0.5,10.6
843,9.4,0.62,3.28,0.9963,92.0,9.0,0.08800000000000001,2.0,0.35,0.685,7.1
844,10.6,0.83,3.18,0.9959,42.0,26.0,0.062,1.7,0.46,0.25,9.9
845,9.8,0.66,3.59,0.9968899999999999,31.0,14.0,0.081,1.8,0.21,0.64,6.4
846,9.8,0.66,3.59,0.9968899999999999,31.0,14.0,0.081,1.8,0.21,0.64,6.4
847,9.9,0.7,3.5,0.9977,39.0,12.0,0.078,1.8,0.16,0.68,7.4
848,9.8,0.66,3.59,0.9968899999999999,31.0,14.0,0.081,1.8,0.21,0.64,6.4
849,9.8,0.66,3.58,0.9968899999999999,32.0,12.0,0.08,1.6,0.21,0.63,6.4
850,9.5,0.55,3.28,0.99708,22.0,9.0,0.085,1.9,0.44,0.43,9.3
851,9.5,0.55,3.28,0.99708,22.0,9.0,0.085,1.9,0.44,0.43,9.3
852,9.7,1.07,3.22,0.9980100000000001,122.0,26.0,0.08,2.5,0.32,0.42,8.0
853,10.9,0.73,3.47,0.9965200000000001,55.0,41.0,0.08,1.5,0.39,0.36,9.3
854,10.9,0.73,3.47,0.9965200000000001,55.0,41.0,0.08,1.5,0.39,0.36,9.3
855,11.7,0.71,3.51,0.9953799999999999,14.0,10.0,0.071,2.5,0.02,0.735,7.6
856,10.9,0.73,3.47,0.9965200000000001,55.0,41.0,0.08,1.5,0.39,0.36,9.3
857,11.3,0.78,3.4,0.9959399999999999,47.0,16.0,0.073,2.5,0.34,0.26,8.2
858,10.6,0.67,3.15,0.9968600000000001,32.0,17.0,0.054000000000000006,1.7,0.47,0.28,11.7
859,11.2,0.82,3.4,0.9943799999999999,24.0,15.0,0.07400000000000001,1.8,0.22,0.56,6.8
860,9.5,0.54,3.51,0.99746,85.0,15.0,0.077,2.7,0.06,0.62,7.2
